horsepower3,displacement,gears,torque_log,age,fuel_consumption_km_l
941192,1.4,5.0,4.48863636973214,6,18.0
2248091,2.0,4.0,4.955827057601261,10,11.0
1643032,1.6,5.0,4.700480365792417,5,15.0
2744000,1.8,6.0,4.859812404361672,7,15.0
1191016,1.6,5.0,4.653960350157523,7,16.0
531441,1.2,5.0,4.382026634673881,6,18.0
681472,1.2,5.0,4.477336814478207,7,18.0
1481544,1.0,5.0,4.787491742782046,4,19.0
3944312,2.0,6.0,4.927253685157205,6,14.0
1520875,1.6,5.0,4.736198448394496,9,14.0
1191016,1.6,5.0,4.653960350157523,6,16.0
1000000,1.6,5.0,4.653960350157523,7,18.0
328509,1.0,5.0,4.219507705176107,7,15.0
1191016,1.6,4.0,4.653960350157523,5,15.0
681472,1.2,4.0,4.477336814478207,6,17.0
1225043,1.6,5.0,4.6443908991413725,6,17.0
5088448,2.4,6.0,5.10594547390058,10,11.0
1191016,1.6,4.0,4.653960350157523,8,18.0
1771561,1.6,6.0,4.709530201312334,5,15.0
2248091,2.0,4.0,4.955827057601261,10,12.0
531441,1.2,5.0,4.382026634673881,5,18.0
18821096,3.5,6.0,5.501258210544727,13,9.0
2744000,1.8,6.0,4.859812404361672,11,15.0
1331000,1.6,5.0,4.736198448394496,4,15.0
1000000,1.6,5.0,4.653960350157523,8,18.0
23149125,4.8,6.0,5.720311776607412,7,8.0
941192,1.6,5.0,4.653960350157523,10,15.0
2197000,1.2,5.0,4.941642422609304,7,18.0
1191016,1.5,5.0,4.634728988229636,9,17.0
1030301,1.6,5.0,4.653960350157523,5,17.0
4741632,2.5,6.0,5.135798437050262,11,9.0
2744000,1.8,5.0,4.859812404361672,8,16.0
4574296,2.4,6.0,5.181783550292085,7,9.0
1157625,1.5,5.0,4.653960350157523,7,17.0
1953125,2.2,6.0,5.552959584921617,9,12.0
2744000,1.8,5.0,4.859812404361672,12,16.0
1442897,2.0,5.0,4.804021044733257,11,12.0
287496,1.0,5.0,4.23410650459726,6,17.0
2744000,2.0,6.0,4.969813299576001,6,13.0
1191016,1.6,4.0,4.653960350157523,6,15.0
1191016,1.6,4.0,4.653960350157523,9,15.0
287496,1.0,5.0,4.23410650459726,5,17.0
1953125,2.2,6.0,5.552959584921617,4,12.0
287496,1.0,5.0,4.23410650459726,6,17.0
1191016,1.6,5.0,4.653960350157523,9,14.0
28372625,3.6,9.0,5.556828061699537,7,9.0
132651000,5.0,8.0,6.133398042996649,11,5.0
14706125,2.0,8.0,5.552959584921617,9,8.0
21952000,2.3,8.0,5.736572297479192,5,9.0
27543608,3.5,7.0,5.60947179518496,12,9.0
15069223,2.0,10.0,5.60947179518496,7,9.0
15069223,2.0,10.0,5.60947179518496,6,9.0
32768000,2.0,8.0,5.68697535633982,9,10.0
17779581,2.0,10.0,5.634789603169249,6,10.0
17779581,2.0,10.0,5.634789603169249,5,10.0
2628072,1.4,6.0,5.087596335232384,8,15.0
16003008,2.0,7.0,5.60947179518496,5,11.0
64000000,3.0,10.0,6.028278520230698,4,9.0
4330747,1.6,6.0,5.176149732573829,6,10.0
15625000,2.0,8.0,5.560681631015528,6,11.0
3375000,1.4,7.0,5.214935757608986,7,18.0
2744000,1.5,7.0,5.087596335232384,4,15.0
12326391,2.0,6.0,5.332718793265369,7,11.0
7077888,2.0,7.0,5.327876168789581,5,11.0
42875000,3.7,6.0,5.991464547107982,6,9.0
7077888,2.0,6.0,5.327876168789581,7,13.0
5929741,2.0,7.0,5.3981627015177525,9,9.0
24389000,3.3,6.0,5.529429087511423,7,9.0
2515456,1.5,6.0,5.087596335232384,8,17.0
12167000,2.0,6.0,5.552959584921617,5,14.0
5832000,2.4,6.0,5.1647859739235145,4,12.0
7077888,2.0,7.0,5.327876168789581,5,13.0
15625000,2.0,8.0,5.560681631015528,7,11.0
2628072,1.4,6.0,4.997212273764115,6,13.0
13824000,2.0,6.0,5.598421958998375,9,11.0
24389000,3.7,9.0,5.58724865840025,7,6.0
3723875,2.0,6.0,4.962844630259907,8,14.0
23149125,2.3,6.0,5.703782474656201,10,9.0
15438249,2.0,8.0,5.552959584921617,6,7.0
3796416,1.6,7.0,5.214935757608986,9,15.0
35287552,3.0,7.0,5.783825182329737,8,9.0
1331000,1.6,6.0,4.736198448394496,7,14.0
27270901,3.6,6.0,5.605802066295998,9,9.0
15438249,2.0,7.0,5.60947179518496,8,12.0
23149125,3.6,8.0,5.560681631015528,4,9.0
13824000,2.0,6.0,5.598421958998375,9,9.0
5088448,2.4,4.0,5.10594547390058,5,10.0
23639903,3.6,9.0,5.568344503761097,6,7.0
19683000,3.5,6.0,5.5134287461649825,9,9.0
23149125,3.6,8.0,5.560681631015528,5,9.0
7077888,2.0,6.0,5.332718793265369,6,13.0
7077888,2.0,6.0,5.332718793265369,7,13.0
24389000,3.3,6.0,5.529429087511423,9,9.0
1000000,1.4,5.0,4.584967478670572,8,19.0
61629875,5.0,10.0,5.958424693029782,6,8.0
24389000,3.3,6.0,5.529429087511423,9,9.0
27543608,3.0,8.0,5.68697535633982,13,8.0
8869743,2.0,6.0,5.332718793265369,8,14.0
13312053,1.8,6.0,5.5254529391317835,7,9.0
1771561,1.6,6.0,4.709530201312334,6,14.0
5929741,1.5,9.0,5.332718793265369,6,14.0
6859000,2.0,6.0,5.3981627015177525,7,14.0
14706125,2.0,6.0,5.598421958998375,8,9.0
2515456,1.5,6.0,5.087596335232384,11,17.0
14706125,2.0,8.0,5.552959584921617,8,6.0
3796416,1.6,7.0,5.214935757608986,8,15.0
1404928,2.0,6.0,5.332718793265369,6,9.0
2515456,1.5,7.0,5.087596335232384,6,17.0
6229504,2.0,8.0,5.3981627015177525,5,14.0
3652264,1.6,7.0,5.214935757608986,8,15.0
5929741,2.0,8.0,5.365976015021851,6,12.0
5929741,2.0,6.0,5.1647859739235145,6,14.0
1953125,1.4,7.0,4.997212273764115,8,15.0
24389000,3.3,6.0,5.529429087511423,8,9.0
1771561,1.6,6.0,4.709530201312334,7,14.0
34965783,3.7,7.0,5.594711379601839,7,10.0
1442897,1.5,5.0,4.709530201312334,4,14.0
551368,1.2,5.0,4.418840607796598,3,19.0
4913000,1.5,6.0,5.313205979041787,6,9.0
1331000,1.0,6.0,4.770684624465665,7,19.0
6644672,2.5,6.0,5.225746673713202,4,10.0
3796416,1.6,7.0,5.214935757608986,5,13.0
3652264,1.6,9.0,5.214935757608986,7,13.0
1331000,1.6,5.0,4.736198448394496,8,15.0
37595375,3.6,8.0,5.652489180268651,8,8.0
3112136,1.6,6.0,5.272999558563747,8,27.0
2197000,1.8,6.0,4.897839799950911,7,12.0
23887872,3.6,6.0,5.598421958998375,8,9.0
4410944,2.0,6.0,4.983606621708336,7,12.0
4913000,2.0,7.0,5.332718793265369,11,12.0
6434856,2.5,6.0,5.225746673713202,6,9.0
5832000,1.6,6.0,5.176149732573829,11,14.0
13824000,2.0,9.0,5.521460917862246,10,8.0
2628072,1.5,7.0,5.087596335232384,6,16.0
2515456,1.5,7.0,5.087596335232384,5,17.0
37595375,3.0,8.0,5.908082938168931,6,10.0
5929741,2.0,8.0,5.293304824724492,9,12.0
23149125,2.5,6.0,5.53338948872752,14,9.0
23887872,3.6,6.0,5.598421958998375,9,9.0
6331625,2.4,6.0,5.181783550292085,5,12.0
18821096,3.3,6.0,5.455321115357702,5,9.0
1815848,1.4,7.0,4.997212273764115,10,15.0
6644672,2.5,6.0,5.214935757608986,10,9.0
3796416,1.6,7.0,5.214935757608986,7,13.0
13824000,2.0,6.0,5.598421958998375,5,9.0
6644672,2.5,6.0,5.225746673713202,6,14.0
2744000,1.8,6.0,4.859812404361672,5,15.0
6434856,2.5,6.0,5.225746673713202,4,9.0
3375000,2.0,6.0,4.955827057601261,8,14.0
33386248,3.0,8.0,5.908082938168931,8,10.0
551368,1.2,5.0,4.418840607796598,7,19.0
2515456,1.5,6.0,5.087596335232384,8,17.0
23149125,3.6,5.0,5.560681631015528,7,5.0
15625000,2.5,6.0,5.736572297479192,6,11.0
18821096,3.3,6.0,5.455321115357702,6,9.0
2406104,1.5,8.0,5.087596335232384,6,17.0
1331000,1.6,5.0,4.736198448394496,4,15.0
5832000,2.0,7.0,5.4638318050256105,5,12.0
13824000,2.0,6.0,5.598421958998375,12,11.0
3375000,1.4,7.0,5.214935757608986,5,14.0
551368,1.2,5.0,4.418840607796598,5,19.0
46656000,5.7,8.0,5.966146739123692,9,7.0
5832000,2.4,6.0,5.1647859739235145,6,12.0
5545233,2.4,5.0,5.099866427824199,11,9.0
23887872,3.6,6.0,5.598421958998375,11,9.0
1331000,1.6,6.0,4.736198448394496,6,14.0
3581577,2.0,6.0,4.955827057601261,6,12.0
2515456,1.5,6.0,5.087596335232384,9,17.0
2744000,1.4,7.0,5.214935757608986,9,18.0
1771561,1.6,6.0,4.709530201312334,5,15.0
24389000,3.5,6.0,5.541263545158426,12,9.0
55306341,5.7,6.0,5.993961427306569,9,6.0
2628072,1.4,7.0,5.181783550292085,4,14.0
6331625,2.4,6.0,5.181783550292085,8,13.0
5451776,2.5,6.0,5.147494476813453,10,13.0
1771561,1.6,6.0,4.709530201312334,7,15.0
1771561,1.6,6.0,4.709530201312334,6,16.0
6644672,2.5,6.0,5.214935757608986,8,14.0
2744000,2.0,6.0,4.969813299576001,4,14.0
5359375,1.6,8.0,5.214935757608986,9,13.0
1771561,1.6,6.0,4.709530201312334,4,15.0
37595375,3.6,8.0,5.652489180268651,7,8.0
2248091,2.0,4.0,4.955827057601261,7,12.0
24389000,3.6,5.0,5.560681631015528,13,7.0
4574296,2.4,6.0,5.181783550292085,5,9.0
23149125,3.6,5.0,5.560681631015528,13,9.0
4741632,1.6,8.0,5.214935757608986,11,13.0
3241792,2.0,6.0,4.948759890378168,7,15.0
4741632,2.5,6.0,5.135798437050262,9,9.0
1771561,1.5,6.0,4.6913478822291435,4,17.0
1771561,1.6,6.0,4.709530201312334,5,14.0
22665187,3.6,6.0,5.560681631015528,8,7.0
1030301,1.4,6.0,4.584967478670572,10,14.0
2248091,2.0,6.0,4.955827057601261,7,14.0
2248091,2.0,6.0,4.955827057601261,6,13.0
6434856,2.5,6.0,5.225746673713202,5,9.0
3581577,2.0,6.0,4.955827057601261,7,12.0
23149125,4.8,6.0,5.720311776607412,5,8.0
3723875,2.0,6.0,4.997212273764115,10,14.0
1331000,1.6,5.0,4.6913478822291435,10,13.0
2248091,2.0,4.0,4.955827057601261,9,12.0
24389000,3.3,6.0,5.529429087511423,7,9.0
6434856,2.5,6.0,5.225746673713202,6,9.0
1157625,1.6,5.0,4.727387818712341,4,15.0
4741632,1.6,8.0,5.214935757608986,10,13.0
1442897,1.6,5.0,4.762173934797756,7,12.0
44738875,5.3,6.0,5.948034989180646,6,8.0
1259712,1.6,6.0,4.736198448394496,9,14.0
1191016,1.5,6.0,4.634728988229636,6,18.0
614125,1.4,5.0,4.499809670330265,8,14.0
4173281,1.3,6.0,5.135798437050262,3,16.0
5929741,2.0,6.0,5.017279836814924,5,13.0
1442897,1.5,5.0,4.709530201312334,3,14.0
1124864,1.6,6.0,4.727387818712341,8,14.0
1157625,1.6,5.0,4.727387818712341,5,15.0
4096000,2.0,6.0,4.983606621708336,10,15.0
1331000,1.6,5.0,4.736198448394496,5,9.0
6331625,2.4,6.0,5.181783550292085,9,13.0
1953125,1.4,7.0,4.6913478822291435,8,15.0
23149125,5.3,6.0,5.720311776607412,6,8.0
1124864,1.6,5.0,4.727387818712341,7,14.0
1124864,1.6,5.0,4.727387818712341,6,14.0
61629875,5.0,10.0,5.991464547107982,5,9.0
4741632,2.5,5.0,5.176149732573829,11,11.0
3048625,2.0,6.0,4.912654885736052,10,12.0
1191016,1.5,6.0,4.634728988229636,7,18.0
1771561,1.6,6.0,4.709530201312334,5,14.0
2744000,2.0,6.0,4.969813299576001,5,14.0
1030301,1.4,5.0,4.584967478670572,11,15.0
6028568,2.4,6.0,5.147494476813453,9,9.0
5268024,2.0,6.0,5.176149732573829,7,11.0
