fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
9,4x4,Automático,240,Gasolina,2.0,6,Combustión,270,Sí,Lincoln,7
13,4x2,Automático,136,Gasolina,2.0,6,Combustión,162,Sí,Mini,5
14,4x2,Automático,148,estándar,1.4,6,Combustión,184,Sí,Volkswagen,6
8,4x2,Automático,305,estándar,3.6,9,Combustión,259,No,Chevrolet,7
11,4x4,Automático,248,Gasolina,2.0,7,Combustión,273,Sí,Audi,6
11,4x2,Automático,130,Gasolina,1.2,6,Combustión,170,Sí,Peugeot,3
14,4x2,Automático,158,Gasolina,1.4,6,Combustión,177,Sí,Volkswagen,9
11,4x2,Automático,245,Gasolina,2.0,6,Combustión,260,Sí,Kia,7
11,4x2,Automático,190,estándar,2.0,7,Combustión,236,Sí,Audi,8
15,4x2,Automático,156,estándar,1.6,7,Combustión,184,Sí,Mercedes Benz,7
9,4x2,Automático,290,Gasolina,3.6,8,Combustión,260,No,Jeep,11
15,4x2,Automático,190,Gasolina,2.0,7,Combustión,236,Sí,Audi,6
10,4x2,Automático,254,Gasolina,2.0,9,Combustión,273,Sí,Mercedes Benz,6
17,4x2,Automático,150,Gasolina,1.4,8,Combustión,184,Sí,Seat,4
20,4x2,Automático,82,Gasolina,1.2,0,Combustión,83,No,Suzuki,4
13,4x2,Automático,170,Gasolina,2.5,0,Combustión,172,No,Nissan,9
16,4x2,Automático,153,Gasolina,1.4,6,Combustión,177,Sí,Chevrolet,8
9,4x4,Automático,250,Gasolina,2.5,6,Combustión,310,Sí,Mazda,7
12,4x2,Automático,252,Gasolina,2.0,8,Combustión,258,Sí,Bmw,7
13,4x2,Automático,136,Gasolina,2.0,6,Combustión,162,Sí,Mini,6
10,4x2,Automático,290,Gasolina,3.3,6,Combustión,252,No,Hyundai,7
16,4x2,Automático,129,Gasolina,1.8,0,Combustión,128,No,Nissan,6
14,4x2,Automático,181,Gasolina,2.4,6,Combustión,175,No,Hyundai,5
12,4x2,Automático,225,Gasolina,2.0,0,Combustión,258,Sí,Audi,11
15,4x2,Automático,148,estándar,1.4,6,Combustión,184,Sí,Volkswagen,6
9,4x2,Automático,301,estándar,3.6,6,Combustión,272,No,Gmc,8
10,4x4,Automático,226,Gasolina,2.0,6,Combustión,266,Sí,Mg,4
9,4x2,Automático,270,Gasolina,3.5,0,Combustión,258,No,Nissan,10
17,4x2,Automático,118,Gasolina,1.6,0,Combustión,110,No,Nissan,4
31,4x2,Automático,121,Híbrido,1.5,0,Eléctrico,108,No,Toyota,6
14,4x2,Automático,188,Gasolina,1.6,0,Combustión,177,Sí,Nissan,9
12,4x2,Automático,181,estándar,2.0,8,Combustión,199,Sí,Bmw,8
12,4x4,Automático,211,estándar,2.0,7,Combustión,258,Sí,Mercedes Benz,6
0,4x2,Automático,107,Eléctrico,0.0,1,Eléctrico,187,No,Nissan,8
12,4x2,Automático,153,Gasolina,2.0,6,Combustión,142,No,Kia,7
9,4x2,Automático,181,estándar,2.0,7,Combustión,221,Sí,Mercedes Benz,7
10,4x4,Automático,226,Gasolina,2.0,6,Combustión,266,Sí,Mg,3
7,4x4,Automático,240,Gasolina,2.0,6,Combustión,250,Sí,Land Rover,10
14,4x2,Automático,121,Gasolina,1.6,6,Combustión,111,No,Hyundai,8
12,4x4,Automático,250,Gasolina,2.0,0,Combustión,225,Sí,Subaru,9
12,4x2,Automático,181,estándar,2.0,8,Combustión,214,Sí,Bmw,6
16,4x2,Automático,118,Gasolina,1.6,6,Combustión,115,No,Suzuki,9
12,4x4,Automático,252,Gasolina,2.0,7,Combustión,273,Sí,Audi,7
9,4x2,Automático,186,Gasolina,2.5,6,Combustión,186,No,Mazda,5
11,4x2,Automático,189,Gasolina,2.0,7,Combustión,207,Sí,Bmw,6
9,4x2,Automático,186,Gasolina,2.5,6,Combustión,186,No,Mazda,5
13,4x2,Automático,138,Gasolina,1.4,6,Combustión,148,Sí,Buick,10
9,4x2,Automático,290,Gasolina,3.3,6,Combustión,252,No,Kia,8
15,4x2,Automático,108,Gasolina,1.2,6,Combustión,151,Sí,Peugeot,5
9,4x2,Automático,181,Gasolina,1.8,7,Combustión,199,Sí,Mercedes Benz,11
12,4x2,Automático,249,estándar,2.0,8,Combustión,258,Sí,Bmw,9
16,4x2,Automático,118,Gasolina,1.6,6,Combustión,115,No,Suzuki,3
13,4x2,Manual,147,estándar,2.0,6,Combustión,132,No,Kia,7
15,4x2,Automático,156,Gasolina,1.6,7,Combustión,184,Sí,Mercedes Benz,10
9,4x2,Automático,185,Gasolina,2.4,0,Combustión,181,No,Honda,9
12,4x2,Automático,130,Gasolina,1.8,6,Combustión,134,No,Jeep,5
15,4x2,Automático,190,estándar,2.0,7,Combustión,236,Sí,Audi,8
17,4x2,Automático,118,Gasolina,1.6,0,Combustión,110,No,Nissan,7
8,4x4,Automático,327,estándar,3.7,7,Combustión,267,No,Infiniti,8
9,4x2,Automático,290,Gasolina,3.3,8,Combustión,252,No,Kia,6
14,4x2,Automático,192,Gasolina,2.0,7,Combustión,206,Sí,Bmw,5
16,4x2,Automático,118,Gasolina,1.6,6,Combustión,115,No,Suzuki,7
9,4x2,Automático,188,estándar,1.5,0,Combustión,179,Sí,Honda,8
17,4x2,Automático,118,Gasolina,1.6,0,Combustión,110,No,Nissan,7
13,4x2,Automático,154,estándar,1.6,7,Combustión,184,Sí,Mercedes Benz,10
9,4x2,Automático,184,Gasolina,2.4,9,Combustión,171,No,Jeep,11
17,4x2,Automático,150,estándar,1.4,7,Combustión,184,Sí,Seat,5
15,4x2,Automático,156,estándar,1.6,7,Combustión,184,Sí,Mercedes Benz,6
14,4x2,Automático,188,Gasolina,1.6,0,Combustión,177,Sí,Nissan,11
15,4x2,Automático,148,Gasolina,1.4,6,Combustión,184,Sí,Volkswagen,6
8,4x4,Automático,279,estándar,2.5,6,Combustión,252,No,Acura,8
9,4x2,Automático,188,Gasolina,1.5,0,Combustión,179,Sí,Honda,7
15,4x2,Manual,170,Gasolina,1.4,6,Combustión,184,Sí,Alfa Romeo,6
9,4x2,Automático,290,Gasolina,3.6,8,Combustión,260,No,Jeep,9
16,4x2,Manual,125,estándar,1.4,6,Combustión,148,Sí,Seat,6
12,4x2,Automático,131,Gasolina,2.0,4,Combustión,142,No,Renault,7
10,4x2,Automático,290,Gasolina,3.3,6,Combustión,252,No,Hyundai,7
10,4x2,Automático,188,Gasolina,2.5,6,Combustión,185,No,Mazda,7
12,4x4,Automático,170,Gasolina,2.0,7,Combustión,153,Sí,Audi,12
23,4x2,Automático,219,Gasolina,2.5,0,Eléctrico,184,No,Toyota,5
9,4x2,Automático,170,Gasolina,1.5,6,Combustión,203,Sí,Chevrolet,5
7,4x4,Automático,242,Gasolina,2.0,8,Combustión,285,Sí,Bmw,11
15,4x2,Automático,141,Gasolina,1.8,0,Combustión,127,No,Honda,5
15,4x2,Automático,147,Gasolina,2.0,0,Combustión,132,No,Kia,6
17,4x2,Automático,118,Gasolina,1.6,0,Combustión,110,No,Nissan,5
16,4x2,Automático,129,Gasolina,1.8,0,Combustión,128,No,Nissan,8
19,4x2,Manual,110,Gasolina,1.0,5,Combustión,125,Sí,Suzuki,5
17,4x2,Automático,138,Gasolina,1.4,7,Combustión,184,Sí,Volkswagen,10
18,4x2,Automático,118,Gasolina,1.5,0,Combustión,107,No,Honda,7
15,4x2,Automático,141,Gasolina,1.8,0,Combustión,127,No,Honda,6
0,4x2,Automático,168,estándar,0.0,1,Eléctrico,184,No,Bmw,9
9,4x2,Automático,281,Gasolina,3.6,6,Combustión,266,No,Chevrolet,11
9,4x2,Automático,268,Gasolina,3.5,6,Combustión,248,No,Toyota,8
11,4x2,Automático,242,Gasolina,2.0,8,Combustión,258,Sí,Bmw,8
15,4x2,Automático,110,Gasolina,1.6,6,Combustión,114,No,Seat,5
15,4x2,Automático,141,Gasolina,1.8,0,Combustión,127,No,Honda,6
15,4x2,Automático,156,Gasolina,1.6,7,Combustión,184,Sí,Mercedes Benz,11
12,4x2,Automático,180,Gasolina,2.4,6,Combustión,175,No,Jeep,5
31,4x2,Automático,121,Híbrido,1.8,0,Eléctrico,108,No,Toyota,7
13,4x2,Automático,192,Gasolina,2.0,8,Combustión,207,Sí,Mini,7
15,4x2,Automático,125,Gasolina,1.4,7,Combustión,148,Sí,Audi,8
10,4x2,Automático,188,Gasolina,2.5,6,Combustión,185,No,Mazda,7
12,4x2,Automático,153,Gasolina,2.0,6,Combustión,142,No,Kia,7
11,4x2,Automático,190,estándar,2.0,7,Combustión,236,Sí,Audi,8
13,4x2,Automático,197,Gasolina,2.5,6,Combustión,191,No,Chevrolet,12
14,4x2,Automático,110,Gasolina,1.6,6,Combustión,114,No,Volkswagen,4
17,4x2,Automático,147,Gasolina,2.0,6,Combustión,132,No,Hyundai,8
15,4x2,Automático,140,Gasolina,1.8,6,Combustión,129,No,Chevrolet,6
14,4x2,Automático,110,estándar,1.6,6,Combustión,114,No,Seat,5
0,4x2,Automático,184,estándar,,1,Eléctrico,199,No,Bmw,5
8,4x2,Automático,283,Gasolina,3.6,6,Combustión,260,No,Dodge,7
14,4x2,Automático,150,Gasolina,1.4,8,Combustión,184,Sí,Audi,3
31,4x2,Automático,121,Híbrido,1.8,0,Eléctrico,108,No,Toyota,7
15,4x2,Manual,110,Gasolina,1.6,5,Combustión,114,No,Seat,6
8,4x2,Manual,188,Gasolina,2.5,6,Combustión,184,No,Mazda,7
15,4x2,Automático,129,Gasolina,1.8,0,Combustión,128,No,Nissan,10
18,4x2,Automático,118,Gasolina,1.6,0,Combustión,110,No,Nissan,5
14,4x2,Automático,155,Gasolina,2.0,6,Combustión,143,No,Hyundai,7
12,4x2,Automático,130,Gasolina,1.8,6,Combustión,134,No,Jeep,6
8,4x2,Automático,355,estándar,5.3,6,Combustión,383,No,Chevrolet,9
18,4x2,Automático,118,Gasolina,1.6,0,Combustión,110,No,Nissan,5
7,4x4,Automático,403,estándar,6.2,6,Combustión,417,No,Gmc,12
13,4x2,Manual,188,Gasolina,1.6,6,Combustión,177,Sí,Nissan,6
12,4x2,Automático,113,estándar,1.6,5,Combustión,117,No,Fiat,6
9,4x2,Automático,290,estándar,3.6,5,Combustión,260,No,Jeep,14
12,4x2,Automático,130,Gasolina,1.8,6,Combustión,134,No,Jeep,3
9,4x2,Automático,300,estándar,4.8,6,Combustión,295,No,Porsche,11
15,4x2,Manual,197,Gasolina,1.6,6,Combustión,202,Sí,Ford,6
