fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
11.0,4x2,Automático,245,Gasolina,2.0,6.0,Combustión,260,Sí,Kia,7
11.0,4x2,Automático,190,Estándar,2.0,7.0,Combustión,236,Sí,Audi,8
15.0,4x2,Automático,156,Estándar,1.6,7.0,Combustión,184,Sí,Mercedes Benz,7
9.0,4x2,Automático,290,Gasolina,3.6,8.0,Combustión,260,No,Jeep,11
15.0,4x2,Automático,190,Gasolina,2.0,7.0,Combustión,236,Sí,Audi,6
10.0,4x2,Automático,254,Gasolina,2.0,9.0,Combustión,273,Sí,Mercedes Benz,6
17.0,4x2,Automático,150,Gasolina,1.4,8.0,Combustión,184,Sí,Seat,4
16.0,4x2,Automático,153,Gasolina,1.4,6.0,Combustión,177,Sí,Chevrolet,8
9.0,4x4,Automático,250,Gasolina,2.5,6.0,Combustión,310,Sí,Mazda,7
12.0,4x2,Automático,252,Gasolina,2.0,8.0,Combustión,258,Sí,Bmw,7
13.0,4x2,Automático,136,Gasolina,2.0,6.0,Combustión,162,Sí,Mini,6
10.0,4x2,Automático,290,Gasolina,3.3,6.0,Combustión,252,No,Hyundai,7
14.0,4x2,Automático,181,Gasolina,2.4,6.0,Combustión,175,No,Hyundai,5
15.0,4x2,Automático,148,Estándar,1.4,6.0,Combustión,184,Sí,Volkswagen,6
9.0,4x2,Automático,301,Estándar,3.6,6.0,Combustión,272,No,Gmc,8
10.0,4x4,Automático,226,Gasolina,2.0,6.0,Combustión,266,Sí,Mg,4
12.0,4x2,Automático,181,Estándar,2.0,8.0,Combustión,199,Sí,Bmw,8
12.0,4x4,Automático,211,Estándar,2.0,7.0,Combustión,258,Sí,Mercedes Benz,6
12.0,4x2,Automático,153,Gasolina,2.0,6.0,Combustión,142,No,Kia,7
9.0,4x2,Automático,181,Estándar,2.0,7.0,Combustión,221,Sí,Mercedes Benz,7
10.0,4x4,Automático,226,Gasolina,2.0,6.0,Combustión,266,Sí,Mg,3
7.0,4x4,Automático,240,Gasolina,2.0,6.0,Combustión,250,Sí,Land Rover,10
14.0,4x2,Automático,121,Gasolina,1.6,6.0,Combustión,111,No,Hyundai,8
12.0,4x2,Automático,181,Estándar,2.0,8.0,Combustión,214,Sí,Bmw,6
16.0,4x2,Automático,118,Gasolina,1.6,6.0,Combustión,115,No,Suzuki,9
12.0,4x4,Automático,252,Gasolina,2.0,7.0,Combustión,273,Sí,Audi,7
9.0,4x2,Automático,186,Gasolina,2.5,6.0,Combustión,186,No,Mazda,5
11.0,4x2,Automático,189,Gasolina,2.0,7.0,Combustión,207,Sí,Bmw,6
13.0,4x2,Automático,138,Gasolina,1.4,6.0,Combustión,148,Sí,Buick,10
9.0,4x2,Automático,290,Gasolina,3.3,6.0,Combustión,252,No,Kia,8
15.0,4x2,Automático,108,Gasolina,1.2,6.0,Combustión,151,Sí,Peugeot,5
9.0,4x2,Automático,181,Gasolina,1.8,7.0,Combustión,199,Sí,Mercedes Benz,11
12.0,4x2,Automático,249,Estándar,2.0,8.0,Combustión,258,Sí,Bmw,9
16.0,4x2,Automático,118,Gasolina,1.6,6.0,Combustión,115,No,Suzuki,3
13.0,4x2,Manual,147,Estándar,2.0,6.0,Combustión,132,No,Kia,7
15.0,4x2,Automático,156,Gasolina,1.6,7.0,Combustión,184,Sí,Mercedes Benz,10
12.0,4x2,Automático,130,Gasolina,1.8,6.0,Combustión,134,No,Jeep,5
15.0,4x2,Automático,190,Estándar,2.0,7.0,Combustión,236,Sí,Audi,8
8.0,4x4,Automático,327,Estándar,3.7,7.0,Combustión,267,No,Infiniti,8
9.0,4x2,Automático,290,Gasolina,3.3,8.0,Combustión,252,No,Kia,6
14.0,4x2,Automático,192,Gasolina,2.0,7.0,Combustión,206,Sí,Bmw,5
16.0,4x2,Automático,118,Gasolina,1.6,6.0,Combustión,115,No,Suzuki,7
13.0,4x2,Automático,154,Estándar,1.6,7.0,Combustión,184,Sí,Mercedes Benz,10
9.0,4x2,Automático,184,Gasolina,2.4,9.0,Combustión,171,No,Jeep,11
17.0,4x2,Automático,150,Estándar,1.4,7.0,Combustión,184,Sí,Seat,5
15.0,4x2,Automático,156,Estándar,1.6,7.0,Combustión,184,Sí,Mercedes Benz,6
15.0,4x2,Automático,148,Gasolina,1.4,6.0,Combustión,184,Sí,Volkswagen,6
8.0,4x4,Automático,279,Estándar,2.5,6.0,Combustión,252,No,Acura,8
15.0,4x2,Manual,170,Gasolina,1.4,6.0,Combustión,184,Sí,Alfa Romeo,6
9.0,4x2,Automático,290,Gasolina,3.6,8.0,Combustión,260,No,Jeep,9
16.0,4x2,Manual,125,Estándar,1.4,6.0,Combustión,148,Sí,Seat,6
